"node","louvain","infomap","fast_greedy","leading_eigen","walktrap","consensus_louvain"
"ASV2",1,1,8,1,7,1
"ASV61",1,2,8,5,13,1
"ASV66",2,3,7,4,6,2
"ASV69",3,4,2,6,3,3
"ASV422",4,5,7,4,6,2
"ASV481",3,6,2,7,3,3
"ASV495",1,7,8,1,7,1
"ASV637",5,8,5,8,9,4
"ASV710",5,9,2,8,9,4
"ASV745",4,5,7,4,6,2
"ASV752",4,10,8,1,7,2
"ASV769",5,11,2,8,9,4
"ASV773",3,12,2,3,3,3
"ASV782",1,1,8,1,7,1
"ASV839",6,13,5,7,3,5
"ASV843",7,14,6,6,16,6
"ASV863",5,12,5,7,3,4
"ASV986",2,15,7,4,6,2
"ASV1005",4,15,7,4,6,2
"ASV1035",8,16,11,2,5,7
"ASV1070",3,14,6,6,16,3
"ASV1093",3,4,2,6,3,3
"ASV1101",3,4,2,7,3,3
"ASV1114",3,4,2,6,3,3
"ASV1164",6,17,5,4,6,5
"ASV1212",6,18,5,7,13,5
"ASV1261",1,1,8,1,7,1
"ASV1330",1,19,8,5,13,1
"ASV1354",4,20,5,4,6,2
"ASV1399",4,5,7,4,6,2
"ASV1432",1,2,8,5,13,1
"ASV1457",5,21,2,8,3,4
"ASV1486",6,13,8,5,7,1
"ASV1500",5,9,2,6,3,3
"ASV1645",6,18,5,7,13,5
"ASV1649",1,1,8,1,7,1
"ASV1653",3,12,2,3,3,3
"ASV1729",5,8,2,8,9,4
"ASV1783",1,1,8,1,7,1
"ASV1833",1,1,8,5,7,1
"ASV1885",1,1,8,1,7,1
"ASV1892",1,1,8,1,7,1
"ASV2016",5,9,2,8,9,4
"ASV2187",1,19,8,5,13,1
"ASV2192",6,18,5,7,13,5
"ASV2321",5,4,5,8,3,4
"ASV2394",4,5,7,4,6,2
"ASV2432",9,22,10,6,19,8
"ASV2529",4,15,7,4,6,2
"ASV2544",1,19,8,5,13,1
"ASV2610",1,1,8,1,7,1
"ASV2646",5,9,2,8,9,4
"ASV2661",1,19,8,5,7,1
"ASV2690",1,19,8,5,7,1
