"node","community"
"ASV2",1
"ASV61",1
"ASV66",2
"ASV69",3
"ASV422",2
"ASV481",3
"ASV495",1
"ASV637",4
"ASV710",4
"ASV745",2
"ASV752",2
"ASV769",4
"ASV773",3
"ASV782",1
"ASV839",5
"ASV843",6
"ASV863",4
"ASV986",2
"ASV1005",2
"ASV1035",7
"ASV1070",3
"ASV1093",3
"ASV1101",3
"ASV1114",3
"ASV1164",5
"ASV1212",5
"ASV1261",1
"ASV1330",1
"ASV1354",2
"ASV1399",2
"ASV1432",1
"ASV1457",4
"ASV1486",1
"ASV1500",3
"ASV1645",5
"ASV1649",1
"ASV1653",3
"ASV1729",4
"ASV1783",1
"ASV1833",1
"ASV1885",1
"ASV1892",1
"ASV2016",4
"ASV2187",1
"ASV2192",5
"ASV2321",4
"ASV2394",2
"ASV2432",8
"ASV2529",2
"ASV2544",1
"ASV2610",1
"ASV2646",4
"ASV2661",1
"ASV2690",1
"ASV2779",2
"ASV2785",1
"ASV2902",2
"ASV2950",5
"ASV2996",1
"ASV3123",5
"ASV3242",4
"ASV3359",2
"ASV3430",4
"ASV3451",4
"ASV3480",5
"ASV3520",3
"ASV3527",5
"ASV3578",2
"ASV3596",3
"ASV3599",5
"ASV3601",2
"ASV3666",4
"ASV3667",4
"ASV3726",3
"ASV3827",1
"ASV3911",1
"ASV4000",2
"ASV4027",2
"ASV4094",1
"ASV4146",4
"ASV4158",1
"ASV4172",3
"ASV4182",4
"ASV4187",2
"ASV4195",2
"ASV4257",4
"ASV4438",1
"ASV4445",5
"ASV4466",2
"ASV4595",4
"ASV4689",3
"ASV4742",2
"ASV4814",2
"ASV4851",3
"ASV4913",2
"ASV4919",3
"ASV5049",1
"ASV5066",1
"ASV5160",2
"ASV5190",2
"ASV5289",5
"ASV5321",2
"ASV5341",5
"ASV5536",3
"ASV5586",1
"ASV5605",9
"ASV5635",5
"ASV5650",3
"ASV5670",1
"ASV5689",2
"ASV5778",9
"ASV5829",1
"ASV5854",5
"ASV5880",4
"ASV5894",5
"ASV5904",2
"ASV5909",3
"ASV5918",4
"ASV6048",4
"ASV6137",4
"ASV6138",1
"ASV6176",3
"ASV6201",3
"ASV6235",3
"ASV6332",3
"ASV6353",2
"ASV6406",1
"ASV6430",5
"ASV6557",9
"ASV6568",4
"ASV6639",1
"ASV6772",3
"ASV6910",1
"ASV6930",1
"ASV6951",2
"ASV6976",1
"ASV7006",3
"ASV7014",4
"ASV7030",4
"ASV7059",5
"ASV7069",1
"ASV7116",3
"ASV7148",4
"ASV7275",4
"ASV7281",5
"ASV7352",4
"ASV7452",1
"ASV7472",5
"ASV7486",3
"ASV7512",2
"ASV7538",4
"ASV7623",1
"ASV7690",1
"ASV7837",4
"ASV7840",4
"ASV7855",2
"ASV7970",1
"ASV8034",1
"ASV8055",4
"ASV8063",1
"ASV8157",2
"ASV8210",5
"ASV8377",3
"ASV8389",5
"ASV8402",9
"ASV8417",5
"ASV8429",3
"ASV8577",3
"ASV8629",1
"ASV8639",1
"ASV8696",2
"ASV8850",3
"ASV8851",5
"ASV8879",5
"ASV9037",3
"ASV9101",2
"ASV9151",3
"ASV9277",10
"ASV9400",2
"ASV9414",5
"ASV9422",5
"ASV9463",5
"ASV9472",5
"ASV9475",2
"ASV9570",3
"ASV9614",1
"ASV9722",5
"ASV9729",2
"ASV9764",5
"ASV9774",2
"ASV9793",3
"ASV9832",1
"ASV9942",1
"ASV9979",2
"ASV10054",5
"ASV10072",2
"ASV10080",2
"ASV10088",1
"ASV10114",2
"ASV10163",1
"ASV10188",2
"ASV10211",3
"ASV10258",2
"ASV10265",3
"ASV10314",5
"ASV10323",2
"ASV10340",3
"ASV10416",3
"ASV10445",2
"ASV10447",3
"ASV10453",1
"ASV10488",3
"ASV10557",1
"ASV10620",2
"ASV10625",3
"ASV10649",2
"ASV10674",3
"ASV10681",1
"ASV10767",5
"ASV10776",4
"ASV10796",1
"ASV10829",3
"ASV10839",2
"ASV10899",2
"ASV10915",1
"ASV10952",1
"ASV10999",9
"ASV11001",1
"ASV11029",1
"ASV11055",5
"ASV11071",1
"ASV11072",1
"ASV11077",5
"ASV11130",1
"ASV11141",1
"ASV11157",2
"ASV11197",2
"ASV11245",3
"ASV11357",1
"ASV11441",1
"ASV11459",3
"ASV11464",3
"ASV11523",2
"ASV11539",3
"ASV11588",4
"ASV11619",3
"ASV11641",3
"ASV11681",5
"ASV11699",5
"ASV11721",2
"ASV11728",3
"ASV11776",2
"ASV11780",1
"ASV11784",2
"ASV11863",4
"ASV11911",4
"ASV11979",1
"ASV12043",10
"ASV12048",3
"ASV12056",4
"ASV12091",3
"ASV12115",2
"ASV12125",1
"ASV12163",8
"ASV12182",2
"ASV12260",4
"ASV12323",2
"ASV12414",2
"ASV12485",2
"ASV12487",5
"ASV12519",2
"ASV12589",2
"ASV12625",3
"ASV12646",2
"ASV12725",3
"ASV12743",3
"ASV12815",5
"ASV12898",4
"ASV12900",1
"ASV12926",3
"ASV12953",5
"ASV13019",3
"ASV13105",4
"ASV13153",1
"ASV13235",1
"ASV13263",4
"ASV13298",2
"ASV13406",2
"ASV13445",3
"ASV13570",3
"ASV13583",2
"ASV13650",3
"ASV13697",3
"ASV13796",4
"ASV13905",2
"ASV13939",2
"ASV14022",5
"ASV14067",2
"ASV14107",1
"ASV14134",2
"ASV14145",2
"ASV14151",4
"ASV14156",5
"ASV14174",1
"ASV14184",2
"ASV14192",1
"ASV14251",2
"ASV14332",4
"ASV14432",5
"ASV14449",1
"ASV14540",1
"ASV14582",2
"ASV14651",4
"ASV14705",1
"ASV14812",2
"ASV14817",2
"ASV14871",4
"ASV14957",1
"ASV14982",2
"ASV15013",3
"ASV15027",3
"ASV15125",3
"ASV15160",2
"ASV15177",9
"ASV15246",3
"ASV15342",5
"ASV15459",5
"ASV15488",5
"ASV15525",7
"ASV15562",2
"ASV15662",10
"ASV15751",3
"ASV15756",2
"ASV15786",3
"ASV15808",2
"ASV15832",1
"ASV15862",1
"ASV15868",9
"ASV15900",3
"ASV15944",1
"ASV15945",2
"ASV15981",8
"ASV16381",1
"ASV16425",3
"ASV16486",2
"ASV16499",2
"ASV16532",4
"ASV16614",5
"ASV16632",1
"ASV16741",1
"ASV16891",5
"ASV16899",2
"ASV16905",3
"ASV16921",6
"ASV16926",1
"ASV16955",5
"ASV16956",3
"ASV16976",1
"ASV17037",5
"ASV17079",1
"ASV17156",1
"ASV17161",5
"ASV17197",5
"ASV17217",2
"ASV17246",1
"ASV17318",4
"ASV17400",5
"ASV17515",2
"ASV17534",2
"ASV17551",2
"ASV17552",5
"ASV17555",1
"ASV17665",2
"ASV17710",5
"ASV17751",3
"ASV17783",9
"ASV17797",1
"ASV17863",10
"ASV18004",5
"ASV18042",2
"ASV18093",3
"ASV18097",3
"ASV18237",3
"ASV18262",10
"ASV18297",3
"ASV18303",2
"ASV18312",2
"ASV18465",2
"ASV18473",2
"ASV18504",5
"ASV18506",3
"ASV18596",5
"ASV18637",2
"ASV18677",2
"ASV18769",4
"ASV18835",4
"ASV18866",4
"ASV18887",3
"ASV18973",3
"ASV19018",5
"ASV19055",5
"ASV19089",3
"ASV19103",1
"ASV19105",2
"ASV19144",5
"ASV19145",3
"ASV19147",4
"ASV19260",4
"ASV19264",3
"ASV19294",3
"ASV19369",4
"ASV19471",3
"ASV19512",1
"ASV19558",3
"ASV19692",2
"ASV19735",3
"ASV19753",5
"ASV19844",3
"ASV20053",3
"ASV20070",5
"ASV20138",1
"ASV20174",3
"ASV20232",5
"ASV20288",2
"ASV20292",1
"ASV20301",1
"ASV20302",5
"ASV20324",4
"ASV20364",4
"ASV20430",4
"ASV20432",5
"ASV20443",5
"ASV20491",1
"ASV20526",3
"ASV20530",5
"ASV20562",1
"ASV20583",1
"ASV20719",3
"ASV20725",4
"ASV20745",2
"ASV20812",3
"ASV20820",2
"ASV20846",10
"ASV20855",3
"ASV20952",2
"ASV21053",5
"ASV21056",1
"ASV21066",1
"ASV21079",1
"ASV21131",2
"ASV21239",2
"ASV21314",5
"ASV21353",2
"ASV21398",2
"ASV21441",3
"ASV21445",1
"ASV21470",1
"ASV21496",1
"ASV21582",3
"ASV21592",2
"ASV21608",1
"ASV21689",3
"ASV21726",3
"ASV21738",3
"ASV21771",2
"ASV21854",4
"ASV21941",1
"ASV21981",2
"ASV22048",2
"ASV22057",2
"ASV22075",1
"ASV22079",2
"ASV22123",2
"ASV22152",3
"ASV22278",3
"ASV22330",4
"ASV22345",1
"ASV22395",4
"ASV22417",6
"ASV22454",4
"ASV22504",2
"ASV22567",1
"ASV22578",4
"ASV22581",2
"ASV22617",4
"ASV22665",11
"ASV22677",2
"ASV22755",4
"ASV22927",4
"ASV22930",1
"ASV22953",2
"ASV23105",1
"ASV23127",2
"ASV23144",10
"ASV23146",3
"ASV23156",2
"ASV23175",4
"ASV23178",2
"ASV23187",2
"ASV23337",4
"ASV23464",4
"ASV23507",2
"ASV23509",2
"ASV23534",5
"ASV23550",1
"ASV23613",2
"ASV23618",3
"ASV23655",1
"ASV23673",1
"ASV23701",2
"ASV23778",1
"ASV23792",1
"ASV23796",1
"ASV23816",5
"ASV23835",3
"ASV23887",1
"ASV23921",3
"ASV24135",4
"ASV24136",2
"ASV24150",1
"ASV24167",3
"ASV24172",5
"ASV24192",1
"ASV24212",1
"ASV24351",2
"ASV24435",5
"ASV24524",1
"ASV24527",2
"ASV24574",3
"ASV24582",2
"ASV24615",5
"ASV24636",3
"ASV24664",3
"ASV24706",3
"ASV24806",4
"ASV24826",1
"ASV24869",5
"ASV24882",1
"ASV24926",3
"ASV24947",5
"ASV24959",1
"ASV24993",1
"ASV25033",4
"ASV25160",2
"ASV25244",1
"ASV25266",3
"ASV25427",1
"ASV25445",3
"ASV25542",1
"ASV25576",9
"ASV25601",2
"ASV25645",1
"ASV25658",1
"ASV25683",9
"ASV25753",3
"ASV25763",3
"ASV25791",5
"ASV25828",2
"ASV25845",7
"ASV25848",1
"ASV25950",2
"ASV25990",1
"ASV26008",4
"ASV26043",3
"ASV26060",2
"ASV26141",2
"ASV26171",5
"ASV26201",4
"ASV26296",8
"ASV26302",2
"ASV26364",5
"ASV26379",2
"ASV26414",3
"ASV26468",4
"ASV26548",4
"ASV26557",5
"ASV26567",1
"ASV26698",1
"ASV26719",5
"ASV26768",3
"ASV26827",2
"ASV26869",1
"ASV26899",3
"ASV26929",5
"ASV26958",5
"ASV27019",2
"ASV27023",4
"ASV27027",1
"ASV27060",5
"ASV27061",1
"ASV27072",3
"ASV27112",2
"ASV27122",3
"ASV27141",5
"ASV27222",3
"ASV27231",2
"ASV27246",2
"ASV27292",2
"ASV27340",3
"ASV27383",1
"ASV27401",2
"ASV27427",2
"ASV27430",1
"ASV27482",5
"ASV27582",3
"ASV27611",3
"ASV27621",11
"ASV27627",3
"ASV27653",2
"ASV27710",1
"ASV27711",3
"ASV27748",5
"ASV27766",3
"ASV27773",2
"ASV27783",2
"ASV27862",4
"ASV27953",3
"ASV28007",3
"ASV28026",2
"ASV28029",2
"ASV28079",3
"ASV28126",2
"ASV28166",1
"ASV28204",1
"ASV28224",1
"ASV28308",1
"ASV28311",2
"ASV28338",1
"ASV28365",3
"ASV28385",1
"ASV28537",5
"ASV28538",2
"ASV28540",4
"ASV28597",1
"ASV28693",3
"ASV28798",3
"ASV28810",1
"ASV28866",3
"ASV28876",5
"ASV28880",11
"ASV28934",2
"ASV28955",2
"ASV28957",2
"ASV28979",2
"ASV29111",3
"ASV29166",4
"ASV29180",5
"ASV29185",3
"ASV29202",2
"ASV29263",1
"ASV29314",2
"ASV29428",5
"ASV29436",3
"ASV29467",1
"ASV29597",3
"ASV29613",3
"ASV29736",1
"ASV29806",1
"ASV29850",3
"ASV29860",2
"ASV29870",3
"ASV29926",3
"ASV29991",1
"ASV29994",2
"ASV30251",3
"ASV30253",1
"ASV30419",5
"ASV30573",3
"ASV30591",4
"ASV30723",2
"ASV30740",5
"ASV30787",3
"ASV30855",3
"ASV30874",2
"ASV30929",4
"ASV31092",1
"ASV31111",3
"ASV31191",3
"ASV31223",1
"ASV31320",2
"ASV31322",3
"ASV31342",5
"ASV31375",2
"ASV31386",1
"ASV31412",2
"ASV31419",5
"ASV31545",2
"ASV31558",5
"ASV31633",2
"ASV31650",4
"ASV31664",5
"ASV31665",2
"ASV31705",5
"ASV31729",9
"ASV31746",1
"ASV31817",3
"ASV31849",5
"ASV31860",5
"ASV31895",5
"ASV31948",3
"ASV32078",5
"ASV32139",3
"ASV32163",1
"ASV32194",2
"ASV32197",1
"ASV32334",4
"ASV32376",2
"ASV32417",1
"ASV32633",4
"ASV32725",2
"ASV32767",1
"ASV32789",2
"ASV32867",3
"ASV32873",1
"ASV32875",11
"ASV32898",5
"ASV32953",3
"ASV32954",1
"ASV32980",5
"ASV33130",1
"ASV33169",2
"ASV33179",2
"ASV33219",2
"ASV33263",5
"ASV33330",3
"ASV33335",3
"ASV33350",2
"ASV33407",1
"ASV33430",3
"ASV33469",2
"ASV33503",6
"ASV33571",3
"ASV33610",2
"ASV33669",2
"ASV33674",4
"ASV33743",3
"ASV33744",2
"ASV33852",5
"ASV33864",5
"ASV33874",1
"ASV33935",3
"ASV33970",4
"ASV33997",2
"ASV34024",3
"ASV34041",1
"ASV34087",5
"ASV34115",2
"ASV34163",5
"ASV34188",1
"ASV34210",3
"ASV34218",2
"ASV34247",2
"ASV34248",1
"ASV34267",3
"ASV34293",4
"ASV34306",2
"ASV34319",4
"ASV34334",2
"ASV34343",1
"ASV34438",1
"ASV34502",2
"ASV34552",2
"ASV34567",3
"ASV34588",1
"ASV34631",2
"ASV34647",1
"ASV34769",5
"ASV34831",2
"ASV34845",4
"ASV34877",3
"ASV34927",1
"ASV34960",2
"ASV34993",1
"ASV35049",5
"ASV35051",2
"ASV35054",6
"ASV35061",1
"ASV35160",1
"ASV35239",2
"ASV35303",4
"ASV35332",2
"ASV35408",7
"ASV35539",3
"ASV35564",2
"ASV35574",2
"ASV35623",1
"ASV35630",4
"ASV35672",4
"ASV35766",4
"ASV35768",2
"ASV35918",5
"ASV35927",1
"ASV36052",2
"ASV36056",4
"ASV36122",3
"ASV36180",3
"ASV36198",3
"ASV36204",1
"ASV36261",3
"ASV36270",3
"ASV36358",4
"ASV36360",5
"ASV36386",3
"ASV36499",1
"ASV36505",3
"ASV36544",5
"ASV36638",3
"ASV36672",5
"ASV36696",2
"ASV36777",1
"ASV36785",1
"ASV36808",5
"ASV36819",3
"ASV36852",1
"ASV36953",3
"ASV36958",3
"ASV37065",1
"ASV37154",1
"ASV37226",9
"ASV37237",5
"ASV37276",3
"ASV37306",1
"ASV37395",2
"ASV37405",3
"ASV37465",2
"ASV37500",2
"ASV37660",1
"ASV37698",2
"ASV37715",3
"ASV37741",2
"ASV37762",3
"ASV37782",1
"ASV37842",4
"ASV37895",3
"ASV37899",3
"ASV37911",1
"ASV37984",5
"ASV37989",3
"ASV38066",3
"ASV38070",1
"ASV38080",1
"ASV38082",2
"ASV38098",5
"ASV38133",2
"ASV38181",6
"ASV38219",1
"ASV38403",3
"ASV38407",4
"ASV38414",5
"ASV38473",5
"ASV38477",2
"ASV38516",1
"ASV38523",3
"ASV38555",2
"ASV38582",1
"ASV38689",1
"ASV38758",2
"ASV38774",2
"ASV38819",4
"ASV38878",2
"ASV38909",3
"ASV38972",1
"ASV38991",1
"ASV39001",2
"ASV39021",5
"ASV39046",2
"ASV39076",5
"ASV39085",2
"ASV39102",5
"ASV39159",3
"ASV39264",2
"ASV39287",4
"ASV39464",1
"ASV39542",3
"ASV39585",1
"ASV39648",5
"ASV39655",2
"ASV39718",3
"ASV39746",5
"ASV39799",1
"ASV39805",3
"ASV39813",3
"ASV39816",3
"ASV39907",8
"ASV39924",2
"ASV39938",3
"ASV39945",2
"ASV39966",5
"ASV39993",3
"ASV40042",2
"ASV40135",4
"ASV40142",4
"ASV40157",2
"ASV40254",2
"ASV40330",3
"ASV40447",2
"ASV40449",3
"ASV40450",3
"ASV40455",1
"ASV40474",2
"ASV40503",1
"ASV40556",8
"ASV40575",1
"ASV40609",1
"ASV40633",3
"ASV40656",1
"ASV40686",3
"ASV40698",1
"ASV40733",3
"ASV40754",5
"ASV40774",1
"ASV40792",5
"ASV40883",2
"ASV40930",1
"ASV40941",9
"ASV41030",3
"ASV41059",3
"ASV41071",1
"ASV41082",2
"ASV41099",3
"ASV41111",5
"ASV41130",1
"ASV41140",9
"ASV41167",5
"ASV41204",2
"ASV41217",2
"ASV41250",2
"ASV41322",3
"ASV41356",1
"ASV41359",2
"ASV41447",5
"ASV41453",2
"ASV41475",1
"ASV41481",5
"ASV41549",2
"ASV41571",5
"ASV41587",5
"ASV41661",5
"ASV41666",3
"ASV41707",3
"ASV41790",1
"ASV41865",2
"ASV41872",2
"ASV41898",3
"ASV41988",2
"ASV42145",4
"ASV42180",5
"ASV42243",2
"ASV42282",3
"ASV42304",1
"ASV42331",5
"ASV42335",2
"ASV42381",5
"ASV42435",2
"ASV42442",3
"ASV42479",1
"ASV42489",1
"ASV42493",1
"ASV42560",3
"ASV42570",2
"ASV42644",4
"ASV42658",5
"ASV42689",1
"ASV42734",2
"ASV42738",3
"ASV42811",3
"ASV42873",1
"ASV42891",2
"ASV42930",3
"ASV42931",5
"ASV43051",1
"ASV43107",3
"ASV43130",4
"ASV43201",2
"ASV43211",3
"ASV43214",2
"ASV43358",4
"ASV43389",2
"ASV43412",1
"ASV43428",1
"ASV43458",4
"ASV43524",2
"ASV43562",3
"ASV43611",3
"ASV43633",3
"ASV43647",2
"ASV43691",1
"ASV43698",1
"ASV43783",4
"ASV43813",2
"ASV43865",2
"ASV43901",3
"ASV43933",4
"ASV43968",5
"ASV44001",5
"ASV44008",5
"ASV44031",3
"ASV44047",2
"ASV44048",3
"ASV44142",4
"ASV44251",5
"ASV44258",4
"ASV44318",3
"ASV44417",5
"ASV44460",1
"ASV44475",9
"ASV44493",2
"ASV44529",2
"ASV44531",2
"ASV44584",3
"ASV44616",4
"ASV44652",5
"ASV44680",1
"ASV44686",3
"ASV44703",1
"ASV44742",2
"ASV44859",3
"ASV44985",3
"ASV45024",4
"ASV45047",1
"ASV45177",3
"ASV45187",2
"ASV45211",4
"ASV45212",1
"ASV45263",1
"ASV45301",1
"ASV45407",1
"ASV45414",2
"ASV45494",4
"ASV45571",4
"ASV45644",3
"ASV45691",1
"ASV45717",1
"ASV45771",4
"ASV45787",5
"ASV45788",2
"ASV45870",3
"ASV45890",4
"ASV45914",2
"ASV46019",1
"ASV46053",2
"ASV46067",2
"ASV46068",2
"ASV46208",1
"ASV46223",5
"ASV46229",3
"ASV46258",1
"ASV46303",4
"ASV46514",2
"ASV46544",1
"ASV46558",2
"ASV46740",5
"ASV46762",2
"ASV46798",2
"ASV46831",1
"ASV46889",3
"ASV46931",5
"ASV46932",2
"ASV47062",2
"ASV47065",2
"ASV47073",5
"ASV47100",5
"ASV47104",5
"ASV47176",1
"ASV47284",3
"ASV47289",2
"ASV47437",5
"ASV47487",1
"ASV47489",4
"ASV47524",1
"ASV47526",2
"ASV47585",1
"ASV47593",4
"ASV47677",2
"ASV47758",2
"ASV47820",1
"ASV47832",5
"ASV48074",5
