"node","louvain","infomap","fast_greedy","leading_eigen","walktrap","consensus_louvain"
"ASV2",1,1,5,1,9,1
"ASV61",2,2,5,4,9,2
"ASV66",3,3,2,3,18,3
"ASV69",4,4,3,2,28,4
"ASV422",5,5,5,4,18,5
"ASV481",6,6,4,5,10,6
"ASV495",1,1,5,1,9,1
"ASV637",7,7,4,5,17,7
"ASV710",6,8,1,5,15,6
"ASV745",8,3,2,3,3,3
"ASV752",5,9,5,4,18,5
"ASV769",6,6,4,5,5,6
"ASV773",4,4,3,2,28,4
"ASV782",1,1,5,1,9,1
"ASV839",7,10,4,5,10,7
"ASV843",6,6,4,5,5,6
"ASV863",7,7,4,6,17,7
"ASV986",8,3,2,3,3,3
"ASV1005",8,3,2,3,3,3
"ASV1035",4,4,3,2,28,4
"ASV1070",4,4,3,2,28,4
"ASV1093",4,4,3,2,28,4
"ASV1101",6,6,4,5,5,6
"ASV1114",6,11,1,5,44,6
"ASV1164",3,12,4,3,10,7
"ASV1212",6,13,4,5,10,6
"ASV1261",1,1,5,1,9,1
"ASV1330",2,14,4,6,17,7
"ASV1354",8,15,2,1,18,3
"ASV1399",3,15,2,3,18,3
"ASV1432",1,2,5,1,9,2
"ASV1457",6,6,4,5,10,6
"ASV1486",5,9,5,4,9,5
"ASV1500",8,3,2,3,4,3
"ASV1645",7,14,4,6,17,7
"ASV1649",1,1,5,1,9,1
"ASV1653",6,6,4,5,5,6
"ASV1729",7,7,4,6,17,7
"ASV1783",1,1,5,1,9,1
"ASV1833",5,9,5,4,9,5
"ASV1885",1,1,5,1,9,1
"ASV1892",4,4,3,2,18,4
"ASV2016",3,16,2,3,18,7
"ASV2187",5,2,5,4,9,2
"ASV2192",6,6,4,5,10,6
"ASV2321",7,17,4,5,10,6
"ASV2394",3,18,4,3,10,7
"ASV2432",4,4,3,2,18,4
"ASV2529",8,3,2,1,18,3
"ASV2544",5,9,5,4,18,5
"ASV2610",5,1,5,1,9,1
"ASV2646",8,19,2,3,4,3
"ASV2661",5,9,5,4,9,5
"ASV2690",5,9,5,4,9,5
"ASV2779",8,3,2,3,18,3
"ASV2785",1,1,5,1,9,1
"ASV2902",4,4,3,2,18,4
"ASV2950",7,7,4,6,17,7
"ASV2996",5,9,5,4,9,5
"ASV3123",3,12,4,6,10,7
"ASV3242",6,8,1,3,4,6
"ASV3359",5,5,5,4,18,5
"ASV3430",6,20,3,2,10,6
"ASV3451",3,12,4,3,10,7
"ASV3480",7,7,4,6,17,7
"ASV3520",6,21,3,5,43,6
"ASV3527",7,10,4,5,10,7
"ASV3578",8,22,2,3,10,3
"ASV3596",4,4,3,2,28,4
