"node","community"
"ASV2",1
"ASV61",2
"ASV66",3
"ASV69",4
"ASV422",5
"ASV481",6
"ASV495",1
"ASV637",7
"ASV710",6
"ASV745",3
"ASV752",5
"ASV769",6
"ASV773",4
"ASV782",1
"ASV839",7
"ASV843",6
"ASV863",7
"ASV986",3
"ASV1005",3
"ASV1035",4
"ASV1070",4
"ASV1093",4
"ASV1101",6
"ASV1114",6
"ASV1164",7
"ASV1212",6
"ASV1261",1
"ASV1330",7
"ASV1354",3
"ASV1399",3
"ASV1432",2
"ASV1457",6
"ASV1486",5
"ASV1500",3
"ASV1645",7
"ASV1649",1
"ASV1653",6
"ASV1729",7
"ASV1783",1
"ASV1833",5
"ASV1885",1
"ASV1892",4
"ASV2016",7
"ASV2187",2
"ASV2192",6
"ASV2321",6
"ASV2394",7
"ASV2432",4
"ASV2529",3
"ASV2544",5
"ASV2610",1
"ASV2646",3
"ASV2661",5
"ASV2690",5
"ASV2779",3
"ASV2785",1
"ASV2902",4
"ASV2950",7
"ASV2996",5
"ASV3123",7
"ASV3242",6
"ASV3359",5
"ASV3430",6
"ASV3451",7
"ASV3480",7
"ASV3520",6
"ASV3527",7
"ASV3578",3
"ASV3596",4
"ASV3599",6
"ASV3601",3
"ASV3666",7
"ASV3667",6
"ASV3726",6
"ASV3827",6
"ASV3911",6
"ASV4000",7
"ASV4027",5
"ASV4094",5
"ASV4146",6
"ASV4158",3
"ASV4172",4
"ASV4182",6
"ASV4187",3
"ASV4195",3
"ASV4257",3
"ASV4438",5
"ASV4445",7
"ASV4466",3
"ASV4595",3
"ASV4689",4
"ASV4742",3
"ASV4814",7
"ASV4851",6
"ASV4913",2
"ASV4919",4
"ASV5049",1
"ASV5066",1
"ASV5160",7
"ASV5190",3
"ASV5289",1
"ASV5321",3
"ASV5341",2
"ASV5536",6
"ASV5586",1
"ASV5605",6
"ASV5635",1
"ASV5650",6
"ASV5670",1
"ASV5689",3
"ASV5778",4
"ASV5829",1
"ASV5854",2
"ASV5880",3
"ASV5894",7
"ASV5904",7
"ASV5909",4
"ASV5918",6
"ASV6048",7
"ASV6137",7
"ASV6138",2
"ASV6176",6
"ASV6201",4
"ASV6235",4
"ASV6332",8
"ASV6353",7
"ASV6406",1
"ASV6430",2
"ASV6557",4
"ASV6568",6
"ASV6639",1
"ASV6772",4
"ASV6910",5
"ASV6930",5
"ASV6951",7
"ASV6976",5
"ASV7006",4
"ASV7014",7
"ASV7030",7
"ASV7059",7
"ASV7069",5
"ASV7116",4
"ASV7148",4
"ASV7275",6
"ASV7281",1
"ASV7352",3
"ASV7452",1
"ASV7472",3
"ASV7486",3
"ASV7512",7
"ASV7538",7
"ASV7623",2
"ASV7690",5
"ASV7837",6
"ASV7840",6
"ASV7855",2
"ASV7970",5
"ASV8034",2
"ASV8055",6
"ASV8063",1
"ASV8157",7
"ASV8210",2
"ASV8377",4
"ASV8389",6
"ASV8402",4
"ASV8417",1
"ASV8429",6
"ASV8577",6
"ASV8629",2
"ASV8639",1
"ASV8696",7
"ASV8850",4
"ASV8851",7
"ASV8879",7
"ASV9037",6
"ASV9101",3
"ASV9151",7
"ASV9277",6
"ASV9400",3
"ASV9414",6
"ASV9422",7
"ASV9463",1
"ASV9472",7
"ASV9475",3
"ASV9570",6
"ASV9614",1
"ASV9722",7
"ASV9729",3
"ASV9764",6
"ASV9774",3
"ASV9793",4
"ASV9832",6
"ASV9942",1
"ASV9979",7
"ASV10054",7
"ASV10072",3
"ASV10080",3
"ASV10088",5
"ASV10114",5
"ASV10163",2
"ASV10188",2
"ASV10211",6
"ASV10258",3
"ASV10265",6
"ASV10314",7
"ASV10323",3
"ASV10340",6
"ASV10416",6
"ASV10445",1
"ASV10447",4
"ASV10453",1
"ASV10488",4
"ASV10557",2
"ASV10620",5
"ASV10625",4
"ASV10649",3
"ASV10674",6
"ASV10681",5
"ASV10767",2
"ASV10776",6
"ASV10796",7
"ASV10829",4
"ASV10839",3
"ASV10899",5
"ASV10915",5
"ASV10952",1
"ASV10999",4
"ASV11001",5
"ASV11029",2
"ASV11055",7
"ASV11071",1
"ASV11072",5
"ASV11077",4
"ASV11130",5
"ASV11141",1
"ASV11157",3
"ASV11197",5
"ASV11245",6
"ASV11357",1
"ASV11441",2
"ASV11459",4
"ASV11464",7
"ASV11523",7
"ASV11539",6
"ASV11588",7
"ASV11619",4
"ASV11641",4
"ASV11681",2
"ASV11699",7
"ASV11721",3
"ASV11728",6
"ASV11776",3
"ASV11780",1
"ASV11784",3
"ASV11863",6
"ASV11911",6
"ASV11979",2
"ASV12043",6
"ASV12048",6
"ASV12056",6
"ASV12091",6
"ASV12115",1
"ASV12125",5
"ASV12163",4
"ASV12182",1
"ASV12260",6
"ASV12323",3
"ASV12414",4
"ASV12485",3
"ASV12487",4
"ASV12519",3
"ASV12589",3
"ASV12625",6
"ASV12646",3
"ASV12725",4
"ASV12743",4
"ASV12815",2
"ASV12898",6
"ASV12900",1
"ASV12926",4
"ASV12953",6
"ASV13019",4
